actualStartTime,description,tournamentLevel,matchNumber,scoreRedFinal,scoreRedFoul,scoreRedAuto,scoreBlueFinal,scoreBlueFoul,scoreBlueAuto,postResultTime,teams
2017-03-31T13:03:30.98,Qualification 25,Qualification,25,256,0,76,310,0,80,2017-03-31T13:06:11.1766667,"[{'teamNumber': 3352, 'station': 'Red1', 'dq': False}, {'teamNumber': 4284, 'station': 'Red2', 'dq': False}, {'teamNumber': 1723, 'station': 'Red3', 'dq': False}, {'teamNumber': 1405, 'station': 'Blue1', 'dq': False}, {'teamNumber': 1592, 'station': 'Blue2', 'dq': False}, {'teamNumber': 2781, 'station': 'Blue3', 'dq': False}]"
2017-03-31T13:10:57.07,Qualification 26,Qualification,26,230,0,10,205,0,75,2017-03-31T13:14:00.3633333,"[{'teamNumber': 2704, 'station': 'Red1', 'dq': False}, {'teamNumber': 101, 'station': 'Red2', 'dq': False}, {'teamNumber': 5350, 'station': 'Red3', 'dq': False}, {'teamNumber': 4979, 'station': 'Blue1', 'dq': False}, {'teamNumber': 4096, 'station': 'Blue2', 'dq': False}, {'teamNumber': 3488, 'station': 'Blue3', 'dq': False}]"
2017-03-31T13:18:11.7133333,Qualification 27,Qualification,27,283,25,78,318,55,76,2017-03-31T13:20:52.3866667,"[{'teamNumber': 1511, 'station': 'Red1', 'dq': False}, {'teamNumber': 2022, 'station': 'Red2', 'dq': False}, {'teamNumber': 4645, 'station': 'Red3', 'dq': False}, {'teamNumber': 1939, 'station': 'Blue1', 'dq': False}, {'teamNumber': 5811, 'station': 'Blue2', 'dq': False}, {'teamNumber': 144, 'station': 'Blue3', 'dq': False}]"
2017-03-31T13:26:18.2033333,Qualification 28,Qualification,28,140,25,75,155,5,70,2017-03-31T13:30:24.59,"[{'teamNumber': 3067, 'station': 'Red1', 'dq': False}, {'teamNumber': 4213, 'station': 'Red2', 'dq': False}, {'teamNumber': 4787, 'station': 'Red3', 'dq': False}, {'teamNumber': 2725, 'station': 'Blue1', 'dq': False}, {'teamNumber': 1736, 'station': 'Blue2', 'dq': False}, {'teamNumber': 5934, 'station': 'Blue3', 'dq': False}]"
2017-03-31T13:35:52.1,Qualification 29,Qualification,29,165,0,75,353,0,47,2017-03-31T13:38:36.27,"[{'teamNumber': 111, 'station': 'Red1', 'dq': False}, {'teamNumber': 4241, 'station': 'Red2', 'dq': False}, {'teamNumber': 3110, 'station': 'Red3', 'dq': False}, {'teamNumber': 2781, 'station': 'Blue1', 'dq': False}, {'teamNumber': 1986, 'station': 'Blue2', 'dq': False}, {'teamNumber': 4284, 'station': 'Blue3', 'dq': False}]"
2017-03-31T13:44:17.42,Qualification 30,Qualification,30,238,0,18,330,25,75,2017-03-31T13:46:57.98,"[{'teamNumber': 1781, 'station': 'Red1', 'dq': False}, {'teamNumber': 1723, 'station': 'Red2', 'dq': False}, {'teamNumber': 2136, 'station': 'Red3', 'dq': False}, {'teamNumber': 4979, 'station': 'Blue1', 'dq': False}, {'teamNumber': 101, 'station': 'Blue2', 'dq': False}, {'teamNumber': 2039, 'station': 'Blue3', 'dq': False}]"
2017-03-31T13:54:36.0933333,Qualification 31,Qualification,31,255,0,75,256,0,75,2017-03-31T14:00:05.7666667,"[{'teamNumber': 1405, 'station': 'Red1', 'dq': False}, {'teamNumber': 3061, 'station': 'Red2', 'dq': False}, {'teamNumber': 3734, 'station': 'Red3', 'dq': False}, {'teamNumber': 1939, 'station': 'Blue1', 'dq': False}, {'teamNumber': 3138, 'station': 'Blue2', 'dq': False}, {'teamNumber': 6651, 'station': 'Blue3', 'dq': False}]"
2017-03-31T14:04:46.41,Qualification 32,Qualification,32,285,0,15,256,0,31,2017-03-31T14:07:49.54,"[{'teamNumber': 3488, 'station': 'Red1', 'dq': False}, {'teamNumber': 3620, 'station': 'Red2', 'dq': False}, {'teamNumber': 2526, 'station': 'Red3', 'dq': False}, {'teamNumber': 4292, 'station': 'Blue1', 'dq': False}, {'teamNumber': 4096, 'station': 'Blue2', 'dq': False}, {'teamNumber': 2451, 'station': 'Blue3', 'dq': False}]"
2017-03-31T14:14:08.1966667,Qualification 33,Qualification,33,305,0,75,155,0,75,2017-03-31T14:16:48.82,"[{'teamNumber': 1625, 'station': 'Red1', 'dq': False}, {'teamNumber': 2709, 'station': 'Red2', 'dq': False}, {'teamNumber': 4655, 'station': 'Red3', 'dq': False}, {'teamNumber': 2704, 'station': 'Blue1', 'dq': False}, {'teamNumber': 16, 'station': 'Blue2', 'dq': False}, {'teamNumber': 5822, 'station': 'Blue3', 'dq': False}]"
2017-03-31T14:21:11.7966667,Qualification 34,Qualification,34,187,0,17,206,0,75,2017-03-31T14:24:34.02,"[{'teamNumber': 4524, 'station': 'Red1', 'dq': False}, {'teamNumber': 2338, 'station': 'Red2', 'dq': False}, {'teamNumber': 1739, 'station': 'Red3', 'dq': False}, {'teamNumber': 3352, 'station': 'Blue1', 'dq': False}, {'teamNumber': 383, 'station': 'Blue2', 'dq': False}, {'teamNumber': 5350, 'station': 'Blue3', 'dq': False}]"
